game_name,primary_genre,age_group,release_year,age_years,cur_players,peak_players,hours_played,hours_per_player,hours_per_player_per_year,monetization,price_eur
Europa Universalis IV,Simulation,All ages,2013,13,11106,25559,10348128,404.9,31.14,Paid,49.99
MapleStory,Action,All ages,2012,14,3439,3652,1584889,434.0,31.0,Free-to-play,0.0
Warframe,Action,18+,2013,13,36912,79251,31866281,402.1,30.93,Free-to-play,0.0
Crusader Kings II,RPG,All ages,2012,14,2698,5280,2282243,432.2,30.87,Free-to-play,0.0
PAYDAY 2,Action,18+,2013,13,41777,53849,21599988,401.1,30.86,Paid,9.99
Age of Empires II (2013),Strategy,All ages,2013,13,4382,9323,3693750,396.2,30.48,Paid,8.99
Company of Heroes 2,Strategy,18+,2013,13,3377,9084,3596020,395.9,30.45,Paid,4.62
Totally Accurate Battlegrounds,Action,All ages,2018,8,4671,15569,3773048,242.3,30.29,Free-to-play,0.0
Total War: ROME II - Emperor Edition,Strategy,All ages,2013,13,3906,10335,4023788,389.3,29.95,Paid,59.99
Terraria,Action,All ages,2011,15,22449,44708,19670134,440.0,29.33,Paid,9.75
Project Zomboid,Indie,All ages,2013,13,3835,7069,2685207,379.9,29.22,Paid,19.5
The Sims™ 4,Adventure,All ages,2014,12,7120,20572,7204244,350.2,29.18,Free-to-play,0.0
ASTRONEER,Adventure,All ages,2016,10,1660,6442,1843802,286.2,28.62,Paid,29.99
Sid Meier's Civilization V,Strategy,All ages,2010,16,15553,27026,12334091,456.4,28.52,Paid,29.99
PlanetSide 2,Action,All ages,2012,14,1737,2799,1113514,397.8,28.42,Paid,0.0
Total War: SHOGUN 2,Strategy,All ages,2011,15,1988,5227,2226346,425.9,28.4,Paid,29.99
Borderlands 2,Action,18+,2012,14,2853,5711,2223405,389.3,27.81,Paid,8.79
The Witcher 3: Wild Hunt,RPG,18+,2015,11,8270,43867,13370351,304.8,27.71,Paid,29.99
The Elder Scrolls V: Skyrim,RPG,18+,2011,15,3985,8979,3689274,410.9,27.39,Paid,53.49
Team Fortress 2,Action,All ages,2007,19,81520,118950,61254158,515.0,27.1,Free-to-play,0.0
Resident Evil 7 Biohazard,Action,18+,2017,9,1559,3517,855355,243.2,27.02,Paid,19.99
DEVOUR,Indie,All ages,2021,5,2857,4747,637046,134.2,26.84,Paid,9.75
STAR WARS™: The Old Republic™,Massively Multiplayer,All ages,2011,15,5571,8465,3403317,402.0,26.8,Free-to-play,0.0
Frostpunk,Simulation,All ages,2018,8,1557,5614,1182045,210.6,26.32,Paid,44.99
Stellaris,Simulation,All ages,2016,10,19247,57250,15023014,262.4,26.24,Paid,39.99
Mount & Blade: Warband,Action,All ages,2010,16,2531,6734,2781931,413.1,25.82,Paid,19.99
Star Trek Online,Massively Multiplayer,All ages,2010,16,1316,2270,934013,411.5,25.72,Free-to-play,0.0
Fallout: New Vegas,Action,18+,2010,16,4817,6486,2609916,402.4,25.15,Paid,9.99
Warface,Action,16+,2012,14,1321,5256,1849633,351.9,25.14,Free-to-play,0.0
Tabletop Simulator,Casual,All ages,2015,11,8625,16536,4558100,275.6,25.06,Paid,19.5
Arma 3,Action,All ages,2013,13,10023,27972,9058589,323.8,24.91,Paid,27.99
Portal 2,Action,All ages,2011,15,2155,4660,1723990,370.0,24.66,Paid,9.75
Age of Mythology: Extended Edition,Simulation,All ages,2014,12,1684,4566,1303542,285.5,23.79,Paid,27.99
Portal Reloaded,Action,All ages,2021,5,1434,4423,523045,118.3,23.65,Free-to-play,0.0
War Thunder,Action,All ages,2013,13,17305,63379,19474649,307.3,23.64,Free-to-play,0.0
Total War: EMPIRE - Definitive Edition,Strategy,All ages,2009,17,1738,4695,1793046,381.9,22.47,Paid,24.99
Left 4 Dead 2,Action,All ages,2009,17,14550,29310,10928278,372.9,21.93,Paid,9.75
STAR WARS™ Empire at War: Gold Pack,Strategy,All ages,2006,20,1547,2414,1050327,435.1,21.75,Paid,19.5
Dying Light,Action,All ages,2015,11,7077,19837,4709832,237.4,21.58,Paid,59.99
Battlefield™ V,Action,All ages,2018,8,4329,22890,3952329,172.7,21.58,Paid,49.99
7 Days to Die,Action,All ages,2013,13,23265,46402,12941552,278.9,21.45,Paid,43.99
Pummel Party,Action,All ages,2018,8,1544,9207,1554839,168.9,21.11,Paid,14.79
EVE Online,Action,All ages,2003,23,3374,5623,2705758,481.2,20.92,Free-to-play,0.0
Garry's Mod,Casual,All ages,2006,20,18204,41837,17442976,416.9,20.85,Paid,4.99
Euro Truck Simulator 2,Indie,All ages,2012,14,10409,59999,17357616,289.3,20.66,Paid,19.99
Titanfall® 2,Action,All ages,2016,10,6641,16958,3478118,205.1,20.51,Paid,29.99
Battlefield 1 ™,Action,18+,2016,10,2326,11062,2262378,204.5,20.45,Paid,39.99
Warhammer: Vermintide 2,Action,All ages,2018,8,13448,29867,4806391,160.9,20.12,Paid,27.99
Total War: MEDIEVAL II - Definitive Edition,Strategy,All ages,2006,20,2527,6012,2385539,396.8,19.84,Paid,24.99
Shadowverse,Casual,All ages,2016,10,2196,13202,2533038,191.9,19.19,Free-to-play,0.0
Battlefield 4™,Action,18+,2013,13,3187,5639,1389935,246.5,18.96,Paid,39.99
Counter-Strike: Source,Action,All ages,2004,22,3071,8698,3553871,408.6,18.57,Paid,9.75
Railway Empire,Simulation,All ages,2018,8,1374,1870,277372,148.3,18.54,Paid,49.99
The Forest,Action,All ages,2018,8,6659,63683,8344413,131.0,16.38,Paid,16.79
Nioh: Complete Edition,Action,All ages,2017,9,1484,3720,535254,143.9,15.99,Paid,49.99
Blender,Animation & Modeling,All ages,1994,32,2903,5088,2564975,504.1,15.75,Free-to-play,0.0
Counter-Strike,Action,All ages,2000,26,8543,21562,8699744,403.5,15.52,Free-to-play,0.0
ACE COMBAT™ 7: SKIES UNKNOWN,Action,All ages,2019,7,1741,2163,230147,106.4,15.2,Paid,59.99
Path of Exile,Action,All ages,2013,13,49602,155138,28325731,182.6,14.04,Paid,27.75
Among Us,Casual,All ages,2018,8,11892,130138,14248515,109.5,13.69,Paid,2.69
Scavengers,Action,All ages,2021,5,10334,12263,145421,11.9,2.37,Paid,14.99
Rusty Lake Hotel,Adventure,All ages,2016,10,1676,2176,28209,13.0,1.3,Paid,1.99
